ID,STK11IP,ZBTB34,TBC1D10B,OAZ1,POLR2A,G6PD,ABCF1,C14orf102,UBB,TBP,SDHA,CCL5,CD27,CD274,CD276,CD8A,CMKLR1,CXCL9,CXCR6,HLA.DQA1,HLA.DRB1,HLA.E,IDO1,LAG3,NKG7,PDCD1LG2,PSMB10,STAT1,TIGIT
225,47,36,37,457,235,94,80,20,844,46,306,185,47,53,263,83,146,1694,36,1040,2455,1202,212,72,92,123,66,1051,36
226,41,32,28,397,351,108,105,15,730,51,336,178,62,46,153,59,35,256,28,10,204,1112,237,61,83,66,63,998,26
227,13,18,31,284,132,62,65,15,885,22,286,30,9,12,88,19,21,35,7,134,713,355,9,13,31,10,39,224,6
228,26,33,52,419,198,91,67,22,996,45,385,144,205,20,43,55,88,172,13,4,277,958,48,31,52,19,163,241,88
230,44,66,159,2018,557,342,250,48,2645,92,886,1485,267,67,705,624,421,2587,131,9,1718,3652,65,160,682,119,421,2632,152
231,16,17,56,419,130,70,59,12,615,18,169,53,13,12,176,13,22,10,7,84,370,304,4,3,27,26,45,80,12
232,15,20,30,283,73,41,67,16,295,28,166,19,13,6,184,12,23,32,10,1,79,271,5,4,16,2,25,62,10
233,86,81,130,925,955,136,417,71,2854,159,951,55,10,9,419,11,62,30,11,2,254,538,4,14,29,17,55,165,6
234,63,35,77,1041,726,275,214,19,3792,62,890,206,43,50,386,71,127,932,25,2,776,1972,25,40,139,34,174,1914,48
235,9,23,15,185,86,40,17,9,536,12,213,97,21,12,54,23,49,315,15,210,687,324,13,26,74,13,58,175,18
236,6,13,22,180,58,39,39,9,772,13,245,70,14,3,65,23,45,57,11,165,726,233,15,6,30,6,30,135,8
237,14,28,39,340,202,118,54,11,759,20,352,135,40,32,127,83,75,254,17,645,2493,1081,13,65,154,32,163,1157,29
238,23,31,93,1039,306,125,116,16,1330,62,533,282,53,125,742,141,212,1372,36,7,1135,2020,80,100,178,92,307,1565,58
239,75,60,140,782,463,94,418,37,234,73,778,121,16,18,355,50,33,57,6,3,1250,1189,19,22,68,12,71,894,17
240,21,69,88,619,232,126,245,20,1080,58,299,88,28,14,309,35,60,292,10,353,448,840,34,32,93,19,89,469,15
241,23,31,68,378,140,90,177,8,1005,26,279,124,57,15,228,65,39,247,7,841,1471,1021,43,33,72,9,78,718,18
242,21,28,72,511,248,94,109,26,1298,63,239,202,42,12,148,65,113,638,45,454,2357,425,77,47,96,35,53,540,31
243,10,18,27,307,94,53,36,10,402,20,184,36,7,9,297,22,54,57,2,6,154,244,7,11,23,9,27,239,11
244,41,34,79,735,233,97,194,17,1473,79,525,36,5,7,693,10,29,49,4,7,171,715,3,6,11,17,54,381,13
245,12,15,19,147,63,59,45,9,80,16,179,36,7,6,107,23,15,135,2,101,591,540,34,10,17,7,51,323,10
246,38,49,83,857,321,204,135,32,1904,61,474,655,118,62,301,414,177,2283,64,8,1424,2432,155,166,488,79,260,2062,108
247,15,26,45,428,246,53,51,13,644,24,319,17,12,18,165,17,67,33,8,562,1075,299,3,10,20,12,29,261,12
248,26,38,66,855,318,106,132,34,1845,48,651,334,78,63,362,203,211,1239,61,1188,5928,1660,64,89,256,48,273,901,86
249,21,28,46,523,192,139,101,16,2194,39,337,38,12,14,281,18,31,51,9,4,783,346,8,6,34,9,53,306,8
250,23,17,61,702,185,136,127,17,1177,39,615,361,54,50,174,261,128,635,54,1125,3051,1238,24,107,256,26,222,708,40
251,8,34,49,423,104,80,142,19,938,43,550,47,11,6,261,17,32,215,5,2,266,514,15,11,34,11,56,179,8
252,18,27,42,377,106,48,137,10,1375,46,500,11,1,11,93,10,12,15,4,11,127,123,3,4,10,2,13,58,6
253,13,13,48,444,115,100,59,9,325,29,256,180,33,29,152,86,76,532,19,687,2483,499,62,57,99,15,100,563,31
254,20,63,75,964,223,113,103,26,1209,78,386,359,104,37,285,206,144,506,22,1490,4769,1633,115,61,327,83,191,1153,38
255,8,15,32,523,113,88,52,9,962,16,121,160,26,19,57,54,36,107,14,352,443,531,11,26,178,17,56,365,13
256,80,63,61,1405,357,200,427,60,346,79,1475,157,22,15,647,37,79,266,8,12,1550,1373,59,21,58,16,105,784,23
257,114,296,103,2328,765,404,272,161,1442,209,1414,221,109,41,536,123,88,234,22,898,2835,1570,90,57,170,21,129,1286,57
258,50,59,64,1655,256,195,177,44,1887,63,630,185,68,30,616,61,114,593,18,755,4991,1496,40,27,91,29,125,758,42
261,15,18,8,186,67,35,36,10,358,18,277,27,30,7,77,9,33,37,7,51,169,343,8,24,12,4,26,53,17
262,113,88,140,3978,704,560,460,71,2663,123,941,304,84,74,2046,116,225,157,42,1428,6570,2153,31,44,146,24,262,1424,56
263,14,14,4,124,51,25,36,10,303,15,223,29,14,9,56,21,19,28,7,76,368,254,12,10,34,4,21,38,11
264,56,158,62,2758,505,323,233,54,3387,136,761,412,149,50,377,184,420,836,60,4635,15203,2824,58,115,311,50,168,1481,120
265,59,145,64,2373,456,509,679,54,5298,135,832,76,50,21,946,24,58,280,15,552,1712,4138,37,33,70,22,119,712,27
266,135,130,70,2559,442,414,648,52,680,148,1288,133,58,25,788,49,121,261,16,798,2627,2179,34,33,60,20,135,705,43
267,38,105,65,952,339,148,298,34,1785,47,637,23,17,7,552,11,86,21,3,6,251,1033,9,16,36,5,113,237,14
268,169,218,124,5367,1216,537,572,116,6387,274,1561,330,154,89,1382,118,313,1118,70,10028,20020,4812,139,107,339,92,405,2866,102
269,34,30,36,656,183,103,111,19,674,31,508,23,15,16,380,33,63,179,6,239,1270,1187,39,17,35,20,54,567,19
270,163,222,119,4673,1407,531,704,173,8155,399,1599,353,135,71,1524,182,299,1843,42,13,2259,8962,198,114,390,108,421,2941,139
271,67,85,116,3457,481,999,881,73,3626,204,1297,824,308,73,1369,468,184,1222,98,2314,2045,6989,370,184,563,54,360,2073,203
272,24,80,41,1394,250,107,400,44,798,108,753,196,82,27,418,117,50,145,15,1058,1571,1543,62,37,82,19,109,545,61
273,175,295,157,4670,905,579,643,71,6138,261,1486,612,746,92,2883,295,523,1042,81,4400,14678,4733,236,152,529,64,429,2219,250
274,56,62,42,1211,440,321,345,74,3584,115,783,456,192,34,427,241,104,493,34,3099,3559,4464,265,157,424,33,237,1095,88
275,64,267,80,2360,403,330,832,82,5344,183,3903,123,64,23,663,58,128,208,11,463,1538,2265,63,44,52,15,178,642,46
276,93,53,69,2416,432,315,170,45,2379,99,818,56,33,23,1442,12,76,30,6,197,1118,937,7,22,36,15,64,544,10
277,82,77,70,2019,529,452,227,39,2802,119,1133,780,299,60,767,340,126,666,95,8,2395,2737,154,177,436,42,237,1563,227
278,116,156,90,3080,1072,164,678,85,5835,156,705,85,77,26,843,36,67,190,14,523,1684,2016,83,40,48,15,127,678,38
279,120,201,134,5811,943,395,567,113,2035,237,1778,1251,388,61,574,473,250,3222,220,7581,10012,5102,484,173,601,72,346,1513,186
280,55,68,58,1738,365,193,325,43,3026,82,794,230,85,32,338,119,118,508,31,1621,4193,2000,81,90,140,37,169,1344,48
281,159,226,166,8572,890,540,961,96,3495,224,1061,142,62,31,3360,44,91,279,12,683,1149,1927,46,54,71,20,115,872,40
282,112,105,65,3288,694,355,236,81,3861,178,1149,570,246,102,909,354,241,2110,53,14,4794,2846,272,182,524,58,252,1906,150
283,75,96,103,3098,550,376,452,30,3134,100,827,481,209,63,485,72,204,3004,62,1887,3431,3578,185,107,435,60,242,1902,84
284,69,154,74,3132,866,370,700,45,2627,150,1309,168,42,24,680,55,57,241,30,794,765,1832,46,23,53,14,158,624,32
285,39,49,41,1121,316,155,188,49,1239,87,603,210,385,42,99,116,99,431,30,2769,3640,2542,599,130,204,33,228,788,142
286,86,341,101,3165,577,327,978,100,4198,127,1545,170,127,30,867,98,97,284,19,13,518,3667,71,74,153,20,236,2161,74
287,71,157,73,1847,877,237,389,45,2965,139,689,36,26,9,742,22,128,55,13,7,1599,1120,15,17,20,16,99,666,34
288,68,150,73,1571,580,292,378,39,2734,68,811,113,41,32,461,50,87,134,8,13,696,2399,15,49,112,12,155,1514,36
289,69,143,78,1719,582,406,270,46,3422,134,820,597,169,65,650,290,230,863,80,14,1255,2829,86,134,496,54,180,1877,102
290,84,114,102,2686,482,273,258,56,2855,183,826,373,195,41,1131,185,122,580,50,1865,2443,1992,203,97,329,50,189,2560,91
291,11,18,3,116,55,30,25,13,225,24,290,16,25,10,46,10,17,9,3,8,35,82,6,22,9,1,13,20,10
292,30,27,18,869,174,161,132,35,501,75,523,28,22,12,452,10,36,39,2,237,436,838,11,13,21,9,57,314,18
293,33,27,27,351,150,54,48,15,269,40,331,118,43,42,220,60,59,208,9,13,534,691,130,31,77,14,96,345,18
294,32,21,20,691,90,102,97,20,508,26,434,39,25,12,235,13,20,21,6,146,737,410,22,22,12,5,37,297,15
295,100,235,120,2564,623,538,304,88,4722,183,1163,222,57,70,1183,88,172,126,23,1788,5400,2689,58,44,273,39,232,524,41
296,16,62,37,993,185,99,84,27,1279,34,492,873,239,38,149,644,131,1245,53,1997,6310,1941,130,149,838,55,124,1712,258
297,103,133,111,2165,440,366,619,51,3410,146,1588,530,185,99,678,306,184,2192,55,13,10660,7010,182,256,424,68,592,4726,115
298,108,145,185,6400,1021,505,1075,132,10517,304,1448,1077,280,399,1540,314,793,2673,105,7174,22815,9123,423,343,669,461,807,5770,254
299,66,85,57,3175,482,211,244,41,2631,153,750,566,424,48,270,232,239,2510,86,2900,8376,3515,310,137,308,80,251,1578,157
300,58,113,65,1365,258,213,380,42,1821,78,624,145,54,37,599,56,212,388,14,4,3749,1795,75,18,82,31,138,519,55
301,46,143,60,2681,301,509,234,47,2724,134,797,171,86,64,236,110,282,1726,32,3385,5970,3037,513,61,104,60,164,1590,75
302,203,283,148,3269,1244,355,808,129,5645,269,1633,146,209,22,2217,92,245,259,20,1300,2084,2395,139,51,103,26,163,691,83
303,28,37,15,594,234,117,71,17,828,35,469,271,51,32,200,106,37,284,9,8,411,1488,325,66,150,9,136,591,36
304,62,80,59,1912,546,319,305,33,3497,78,654,255,83,50,913,140,134,629,37,15,2843,1845,57,76,108,23,130,900,57
305,83,110,113,3087,932,381,335,102,4675,128,1579,165,523,64,1124,144,178,451,29,2019,7301,5772,166,93,153,50,327,2718,285
306,151,491,213,5857,1404,489,561,102,9594,363,2259,1339,1476,116,493,485,381,2171,175,10249,19873,7168,659,270,1913,119,712,3734,685
307,63,121,107,2846,938,432,516,55,5907,131,1050,1224,416,53,1159,547,374,1274,203,2645,8048,5659,132,493,953,63,381,2976,223
308,78,171,76,2460,539,395,287,66,2212,157,808,289,135,54,751,128,351,939,36,13,992,3666,87,78,198,94,155,1479,63
309,53,26,10,127,201,68,52,25,171,33,351,56,196,23,42,87,52,35,7,852,1419,503,116,28,42,5,131,181,24
310,10,12,2,99,98,59,24,7,290,8,508,24,24,7,89,18,17,24,2,9,84,228,10,5,17,3,16,88,4
311,28,129,48,1117,368,126,294,27,4088,32,494,90,32,21,506,18,22,186,4,339,513,722,70,19,27,8,57,846,18
312,173,259,222,5547,995,961,802,154,7321,455,1682,276,69,68,3667,145,172,1241,41,1722,3091,5047,118,79,193,65,215,2569,73
313,174,192,168,6477,1382,414,582,129,8524,230,1827,519,99,117,1256,179,289,727,43,6313,7009,5413,209,97,299,56,336,4071,85
314,40,81,39,1521,307,143,135,41,1854,76,396,126,196,43,279,84,101,134,8,6,532,1729,139,43,75,33,123,569,59
315,66,144,86,2475,907,324,615,93,4741,119,1558,547,112,64,1040,319,221,3878,57,1085,5585,4268,458,106,322,57,180,1975,123
